date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:10	645/645	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2007%20Feb%202023%2010:28:11%20GMT	https://kentures.de/robots.txt		(from )
11:28:12	208389/208389	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Feb%202023%2010:28:11%20GMT	https://kentures.de/	C:/My%20Web%20Sites/Amaxos/kentures.de/index.html	(from )
11:28:13	1150/1150	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2247e-5a48674b2c880%22	https://kentures.de/extras/custom/TMX5423931590666549/images/favicon/favicon.ico	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/custom/TMX5423931590666549/images/favicon/favicon.ico	(from https://kentures.de/)
11:28:13	84159/84159	---M--	200	added ('OK')	text/javascript	etag:%22148bf-5a32a2ab4d000%22	https://kentures.de/extras/system/library/javascript/jquery-2.1.1.min.js	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/library/javascript/jquery-2.1.1.min.js	(from https://kentures.de/)
11:28:13	55151/55151	---M--	200	added ('OK')	text/css	etag:%22d76f-5a32a2a964b80%22	https://kentures.de/extras/system/library/bootstrap/css/font-awesome.min.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/library/bootstrap/css/font-awesome.min.css	(from https://kentures.de/)
11:28:14	27476/27476	---M--	200	added ('OK')	text/css	etag:%226b54-5a32a2a964b80%22	https://kentures.de/extras/system/template_list/template_v1/css/shared.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v1/css/shared.css	(from https://kentures.de/)
11:28:14	116957/116957	---M--	200	added ('OK')	text/css	etag:%221c8dd-5a32a2a964b80%22	https://kentures.de/extras/system/library/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/library/bootstrap/css/bootstrap.min.css	(from https://kentures.de/)
11:28:15	263577/263577	---M--	200	added ('OK')	text/css	etag:%2240599-5a6da3a947b61%22	https://kentures.de/extras/system/template_list/template_v3/css/theme_style.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v3/css/theme_style.css	(from https://kentures.de/)
11:28:15	13663/13663	---M--	200	added ('OK')	text/css	etag:%22355f-5a32a2ab4d000%22	https://kentures.de/extras/system/library/javascript/jquery-ui-1.11.2.custom/jquery-ui.theme.min.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/library/javascript/jquery-ui-1.11.2.custom/jquery-ui.theme.min.css	(from https://kentures.de/)
11:28:16	14994/14994	---M--	200	added ('OK')	text/css	etag:%223a92-5a32a2ab4d000%22	https://kentures.de/extras/system/library/datetimepicker/jquery.datetimepicker.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/library/datetimepicker/jquery.datetimepicker.css	(from https://kentures.de/)
11:28:16	14634/14634	---M--	200	added ('OK')	text/css	etag:%22392a-5a32a2ab4d000%22	https://kentures.de/extras/system/library/javascript/jquery-ui-1.11.2.custom/jquery-ui.structure.min.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/library/javascript/jquery-ui-1.11.2.custom/jquery-ui.structure.min.css	(from https://kentures.de/)
11:28:16	4746/4746	---M--	200	added ('OK')	text/css	etag:%22128a-5a32a2a964b80%22	https://kentures.de/extras/system/template_list/template_v1/css/backslider.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v1/css/backslider.css	(from https://kentures.de/)
11:28:16	5740/5740	---M--	200	added ('OK')	text/css	etag:%22166c-5a32a2a964b80%22	https://kentures.de/extras/system/template_list/template_v1/css/owl.carousel.min.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v1/css/owl.carousel.min.css	(from https://kentures.de/)
11:28:17	21985/21985	---M--	200	added ('OK')	text/css	etag:%2255e1-5a32a2a964b80%22	https://kentures.de/extras/system/template_list/template_v3/css/front_end.css	C:/My%20Web%20Sites/Amaxos/kentures.de/extras/system/template_list/template_v3/css/front_end.css	(from https://kentures.de/)
11:28:19	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2007%20Feb%202023%2010:28:18%20GMT	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/Amaxos/connect.facebook.net/en_US/sdk.d.delayed	(from https://kentures.de/)
